,Folder,mTime,Plate,Sequencer
62,2024-05-08_050824sg2_SG,2024-05-09 00:30:03,2024-05-08_050824sg2,SG
63,2024-05-09_050824A_Aa,2024-05-09 10:08:09,2024-05-09_050824A,Aa
64,2024-05-09_050824B_Aa,2024-05-09 04:00:05,2024-05-09_050824B,Aa
65,2024-05-09_050824C_CH,2024-05-09 04:00:33,2024-05-09_050824C,CH
66,2024-05-09_050824D_Aa,2024-05-09 12:00:05,2024-05-09_050824D,Aa
67,2024-05-09_050824D_Ge,2024-05-09 07:45:55,2024-05-09_050824D,Ge
68,2024-05-09_050824E_CH,2024-05-09 05:45:26,2024-05-09_050824E,CH
69,2024-05-09_050824F_Aa,2024-05-09 07:45:06,2024-05-09_050824F,Aa
70,2024-05-09_050824G_Aa,2024-05-09 05:45:05,2024-05-09_050824G,Aa
71,2024-05-09_050824G_Ge,2024-05-09 11:26:30,2024-05-09_050824G,Ge
72,2024-05-09_050824H_CH,2024-05-09 07:45:38,2024-05-09_050824H,CH
73,2024-05-09_050824I_CH,2024-05-09 13:15:05,2024-05-09_050824I,CH
74,2024-05-09_050824I_Ge,2024-05-09 05:45:42,2024-05-09_050824I,Ge
75,2024-05-09_050824JG_CH,2024-05-09 11:25:57,2024-05-09_050824JG,CH
76,2024-05-09_050824JG_Ge,2024-05-09 04:00:50,2024-05-09_050824JG,Ge
77,2024-05-09_050824J_CH,2024-05-09 09:30:05,2024-05-09_050824J,CH
78,2024-05-09_050824K_Ge,2024-05-09 09:30:20,2024-05-09_050824K,Ge
79,2024-05-09_050824K_SG,2024-05-09 13:27:53,2024-05-09_050824K,SG
80,2024-05-09_050924jn1_JN,2024-05-09 12:15:03,2024-05-09_050924jn1,JN
81,2024-05-09_050924jn2_JN,2024-05-09 13:28:16,2024-05-09_050924jn2,JN
82,2024-05-09_050924SG1_SG,2024-05-09 11:26:27,2024-05-09_050924SG1,SG
